id,,polity1,latlong1,,polity2,latlong2
1001,,Athens,"37.9728191495, 23.72374385",,Cydonia,"35.515775, 24.01869"
1002,,Cnossus,"35.2977445, 25.163289",,Miletus,"37.5229047333, 27.27831683"
1003,,"Dreros
","35.256232, 25.629044",,Cnossus,"35.2977445, 25.163289"
1004,,Rhodes,"36.195597, 27.964125",,Hierapytna,"35.0095285, 25.7387505"
1005,,Cnossus,"35.2977445, 25.163289",,Cos,"36.844, 27.17"
1006,,Itanos,"35.2655385, 26.263941",,"Alexandria
","31.201435, 29.909773"
1007,,Gortyn,"35.0627201667, 24.94694372",,Lato,"35.1785382, 25.65567205"
1008,,Priansos,"35.045887, 25.258393",,Teos,"38.185491, 26.785397"
1009,,"Cnossus
","35.2977445, 25.163289",,Teos,"38.185491, 26.785397"
1010,,Aptera,"35.46477025, 24.1449764",,Teos,"38.185491, 26.785397"
